127.0.0.1 - - [10/Apr/2023:13:52:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:00 +0900] "GET /jqpro/board/board.jsp HTTP/1.1" 200 9966
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:00 +0900] "GET /jqpro/js/jquery.serializejson.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:00 +0900] "GET /jqpro/js/board.js HTTP/1.1" 200 6476
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:01 +0900] "POST /jqpro/boardList.do HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:14 +0900] "GET /jqpro/replyList.do?bonum=28 HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:22 +0900] "POST /jqpro/boardUpdate.do HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:22 +0900] "GET /jqpro/replyList.do?bonum=50 HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:32 +0900] "GET /jqpro/replyList.do?bonum=24 HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:33 +0900] "GET /jqpro/replyList.do?bonum=28 HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:48 +0900] "GET /jqpro/board/board.jsp HTTP/1.1" 200 9966
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:48 +0900] "GET /jqpro/js/board.js HTTP/1.1" 200 6476
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:48 +0900] "GET /jqpro/js/jquery.serializejson.min.js HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Apr/2023:13:52:48 +0900] "POST /jqpro/boardList.do HTTP/1.1" 200 1113
